Date,Close/Last,Open,High,Low
09/22/2023,7184.82,7157.39,7203.97,7133.65
09/21/2023,7213.90,7252.41,7270.06,7199.11
09/20/2023,7330.79,7278.92,7351.29,7272.68
09/19/2023,7282.12,7250.05,7306.02,7247.02
09/18/2023,7276.14,7353.55,7353.55,7255.03
09/15/2023,7378.82,7381.32,7435.36,7366.21
09/14/2023,7308.67,7216.08,7323.68,7184.25
09/13/2023,7222.57,7224.62,7249.34,7184.56
09/12/2023,7252.88,7290.62,7297.87,7241.99
09/11/2023,7278.27,7275.37,7316.50,7253.65
09/08/2023,7240.77,7219.91,7246.74,7136.56
09/07/2023,7196.10,7165.98,7240.72,7165.98
09/06/2023,7194.09,7217.44,7221.44,7168.84
09/05/2023,7254.72,7241.20,7288.35,7183.80
09/04/2023,7279.51,7332.20,7358.89,7267.25
09/01/2023,7296.77,7310.68,7358.53,7294.49
08/31/2023,7316.70,7372.65,7386.95,7316.70
08/30/2023,7364.40,7396.14,7405.45,7321.35
08/29/2023,7373.43,7345.57,7378.05,7322.45
08/28/2023,7324.71,7294.34,7340.35,7261.50
08/25/2023,7229.60,7199.59,7287.56,7196.84
08/24/2023,7214.46,7309.61,7343.77,7210.00
08/23/2023,7246.62,7265.98,7295.36,7224.07
08/22/2023,7240.88,7227.10,7293.63,7223.07
08/21/2023,7198.06,7165.07,7165.07,7165.07
08/18/2023,7164.11,7163.21,7172.99,7092.72
08/17/2023,7191.74,7229.06,7261.90,7183.50
08/16/2023,7260.25,7246.73,7301.11,7241.10
08/15/2023,7267.70,7355.08,7357.87,7236.56
08/14/2023,7348.84,7326.78,7371.93,7309.94
08/11/2023,7340.19,7391.25,7406.89,7317.76
08/10/2023,7433.62,7373.55,7464.79,7368.95
08/09/2023,7322.04,7351.02,7381.38,7317.38
08/08/2023,7269.47,7271.05,7325.73,7219.12
08/07/2023,7319.76,7290.37,7330.24,7269.48
08/04/2023,7315.07,7286.98,7323.19,7244.19
08/03/2023,7260.53,7256.06,7271.83,7213.87
08/02/2023,7312.84,7312.91,7377.01,7287.04
08/01/2023,7406.08,7478.10,7499.53,7403.16
07/31/2023,7497.78,7473.12,7526.05,7464.65
07/28/2023,7476.47,7449.20,7498.94,7416.20
07/27/2023,7465.24,7358.66,7477.11,7340.03
07/26/2023,7315.07,7363.54,7369.07,7251.02
07/25/2023,7415.45,7449.94,7450.37,7401.83
07/24/2023,7427.31,7405.66,7435.93,7390.82
07/21/2023,7432.77,7389.51,7433.31,7379.62
07/20/2023,7384.91,7302.22,7391.45,7301.12
07/19/2023,7326.94,7369.80,7382.89,7317.54
07/18/2023,7319.18,7280.19,7326.72,7275.52
07/17/2023,7291.66,7314.17,7332.50,7268.73
07/14/2023,7374.54,7353.92,7403.15,7351.63
07/13/2023,7369.80,7346.56,7409.01,7335.61
07/12/2023,7333.01,7241.06,7348.06,7231.33
07/11/2023,7220.01,7176.18,7244.96,7172.14
07/10/2023,7143.69,7082.46,7173.65,7082.46
07/07/2023,7111.88,7098.75,7151.07,7052.77
07/06/2023,7082.29,7239.90,7250.60,7065.26
07/05/2023,7310.81,7327.78,7352.12,7294.60
07/04/2023,7369.93,7390.91,7401.46,7368.97
07/03/2023,7386.70,7415.17,7426.60,7386.70
06/30/2023,7400.06,7339.89,7419.36,7337.28
06/29/2023,7312.73,7295.76,7349.18,7288.65
06/28/2023,7286.32,7250.68,7292.89,7250.68
06/27/2023,7215.58,7212.83,7236.21,7161.72
06/26/2023,7184.35,7175.88,7203.46,7105.72
06/23/2023,7163.42,7165.38,7193.78,7128.64
06/22/2023,7203.28,7194.26,7209.79,7145.06
06/21/2023,7260.97,7273.89,7297.85,7246.86
06/20/2023,7294.17,7303.24,7322.57,7281.12
06/19/2023,7314.05,7353.31,7362.44,7302.63
06/16/2023,7388.65,7312.07,7403.88,7297.73
06/15/2023,7290.91,7304.97,7313.47,7246.33
06/14/2023,7328.53,7290.94,7358.99,7287.67
06/13/2023,7290.80,7290.31,7308.00,7244.42
06/12/2023,7250.35,7250.15,7283.33,7237.85
06/09/2023,7213.14,7230.95,7239.52,7185.26
06/08/2023,7222.15,7196.22,7236.15,7184.19
06/07/2023,7202.79,7198.24,7227.59,7170.94
06/06/2023,7209.00,7189.63,7219.37,7175.60
06/05/2023,7200.91,7294.81,7294.81,7193.37
06/02/2023,7270.69,7181.80,7278.00,7176.72
06/01/2023,7137.43,7139.39,7171.60,7090.46
05/31/2023,7098.70,7136.17,7185.13,7083.60
05/30/2023,7209.75,7279.88,7296.38,7195.38
05/29/2023,7303.81,7352.93,7356.57,7292.11
05/26/2023,7319.18,7256.50,7256.50,7256.50
05/25/2023,7229.27,7261.05,7269.53,7197.40
05/24/2023,7253.46,7306.14,7320.02,7223.58
05/23/2023,7378.71,7457.18,7459.37,7378.71
05/22/2023,7478.16,7467.93,7493.38,7452.69
05/19/2023,7491.96,7469.78,7523.56,7463.96
05/18/2023,7446.89,7440.75,7481.78,7426.39
05/17/2023,7399.44,7378.83,7422.58,7354.54
05/16/2023,7406.01,7394.85,7427.57,7377.81
05/15/2023,7418.21,7443.38,7455.63,7397.86
05/12/2023,7414.85,7420.41,7463.70,7395.60
05/11/2023,7381.78,7383.58,7436.94,7333.92
05/10/2023,7361.20,7403.62,7416.32,7337.66
05/09/2023,7397.17,7415.01,7419.90,7358.45
05/08/2023,7440.91,7427.96,7456.46,7416.22
05/05/2023,7432.93,7388.01,7437.60,7354.60
05/04/2023,7340.77,7381.40,7393.02,7316.14
05/03/2023,7403.83,7410.56,7445.95,7395.82
05/02/2023,7383.20,7466.82,7505.92,7374.06
04/28/2023,7491.50,7498.62,7505.05,7403.20
04/27/2023,7483.84,7450.10,7507.26,7446.66
04/26/2023,7466.66,7496.48,7508.13,7427.53
04/25/2023,7531.61,7528.15,7541.72,7504.26
04/24/2023,7573.86,7545.60,7581.26,7544.73
04/21/2023,7577.00,7551.50,7577.00,7518.32
04/20/2023,7538.71,7541.68,7546.07,7506.92
04/19/2023,7549.44,7530.54,7558.95,7513.77
04/18/2023,7533.63,7509.00,7559.35,7506.66
04/17/2023,7498.18,7535.39,7552.00,7498.07
04/14/2023,7519.61,7500.77,7533.41,7491.43
04/13/2023,7480.83,7450.76,7485.59,7445.94
04/12/2023,7396.94,7396.81,7463.67,7379.79
04/11/2023,7390.28,7381.77,7403.67,7370.09
04/06/2023,7324.75,7328.57,7344.34,7312.61
04/05/2023,7316.30,7350.03,7359.40,7300.33
04/04/2023,7344.96,7375.79,7399.59,7344.34
04/03/2023,7345.96,7341.69,7362.39,7332.64
03/31/2023,7322.39,7271.19,7341.79,7264.82
03/30/2023,7263.37,7222.69,7292.39,7222.32
03/29/2023,7186.99,7141.05,7201.25,7125.12
03/28/2023,7088.34,7145.66,7154.56,7066.27
03/27/2023,7078.27,7103.53,7119.59,7039.09
03/24/2023,7015.10,7108.16,7109.04,6953.58
03/23/2023,7139.25,7118.14,7149.92,7073.50
03/22/2023,7131.12,7105.32,7157.73,7080.18
03/21/2023,7112.91,7089.01,7150.33,7083.81
03/20/2023,7013.14,6900.90,7049.76,6796.21
03/17/2023,6925.40,7086.10,7104.75,6895.73
03/16/2023,7025.72,6987.63,7063.31,6876.61
03/15/2023,6885.71,7123.20,7130.54,6861.63
03/14/2023,7141.57,7029.22,7162.57,6989.96
03/13/2023,7011.50,7211.44,7211.44,6979.55
03/10/2023,7220.67,7193.37,7256.48,7166.89
03/09/2023,7315.88,7317.43,7333.22,7274.05
03/08/2023,7324.76,7305.92,7346.62,7301.82
03/07/2023,7339.27,7355.87,7398.03,7336.20
03/06/2023,7373.21,7385.75,7401.15,7349.98
03/03/2023,7348.12,7313.48,7358.04,7307.32
03/02/2023,7284.22,7176.41,7286.24,7169.66
03/01/2023,7234.25,7279.34,7327.29,7219.40
02/28/2023,7267.93,7253.54,7317.98,7249.47
02/27/2023,7295.55,7243.03,7324.03,7238.31
02/24/2023,7187.27,7359.76,7366.07,7187.27
02/23/2023,7317.43,7309.03,7357.68,7301.42
02/22/2023,7299.26,7282.49,7307.82,7231.63
02/21/2023,7308.65,7319.93,7342.68,7241.21
02/20/2023,7335.61,7361.21,7366.78,7318.73
02/17/2023,7347.72,7311.14,7368.00,7267.77
02/16/2023,7366.16,7346.30,7387.29,7325.75
02/15/2023,7300.86,7206.83,7318.78,7200.73
02/14/2023,7213.81,7225.30,7271.48,7204.51
02/13/2023,7208.59,7147.48,7213.94,7138.91
02/10/2023,7129.73,7165.41,7182.92,7074.63
02/09/2023,7188.36,7179.64,7225.88,7175.77
02/08/2023,7119.83,7181.58,7190.86,7119.83
02/07/2023,7132.35,7145.84,7154.51,7108.46
02/06/2023,7137.10,7181.97,7187.27,7104.52
02/03/2023,7233.94,7136.40,7233.94,7113.42
02/02/2023,7166.27,7110.03,7184.69,7079.41
02/01/2023,7077.11,7087.20,7110.21,7059.61
01/31/2023,7082.42,7075.09,7075.09,7075.09
01/30/2023,7082.01,7054.24,7103.66,7030.95
01/27/2023,7097.21,7085.47,7117.48,7062.69
01/26/2023,7095.99,7095.11,7117.53,7078.02
01/25/2023,7043.88,7057.82,7070.84,6999.93
01/24/2023,7050.48,7053.04,7064.69,7011.40
01/23/2023,7032.02,7014.91,7044.51,6988.51
01/20/2023,6995.99,6996.22,7015.96,6965.45
01/19/2023,6951.87,7047.64,7056.14,6946.74
01/18/2023,7083.39,7073.62,7073.62,7073.62
01/17/2023,7077.16,7036.91,7104.90,7020.82
01/16/2023,7043.31,7036.48,7052.52,7016.32
01/13/2023,7023.50,6989.59,7035.82,6977.86
01/12/2023,6975.68,6947.34,7015.70,6942.73
01/11/2023,6924.19,6879.10,6946.67,6874.71
01/10/2023,6869.14,6882.01,6885.44,6845.81
01/09/2023,6907.36,6861.59,6928.43,6851.66
01/06/2023,6860.95,6772.94,6860.95,6757.46
01/05/2023,6761.50,6744.50,6792.09,6732.04
01/04/2023,6776.43,6660.60,6780.83,6659.83
01/03/2023,6623.89,6580.09,6696.10,6579.71
01/02/2023,6594.57,6521.07,6601.11,6518.21
12/30/2022,6473.76,6533.12,6540.51,6470.64
12/29/2022,6573.47,6486.65,6577.08,6474.73
12/28/2022,6510.49,6561.50,6572.12,6505.67
12/27/2022,6550.66,6559.63,6579.33,6543.26
12/23/2022,6504.90,6513.20,6533.58,6476.05
12/22/2022,6517.97,6587.50,6614.35,6503.88
12/21/2022,6580.24,6469.11,6586.48,6467.57
12/20/2022,6450.43,6418.69,6468.94,6388.23
12/19/2022,6473.29,6470.93,6510.46,6470.93
12/16/2022,6452.63,6505.63,6515.70,6418.95
12/15/2022,6522.77,6674.29,6680.22,6503.00
12/14/2022,6730.79,6727.75,6733.85,6694.33
